City_ID,City,Cultural_place,Historical_place,Adventure_place,City_place,Relax_place,Extreme_place
1,Paris,Eiffel Tower,The Louvre Museum,Eiffel Tower Climbing Adventure ,Champs-Élysées,Luxembourg Gardens,Paris Catacombs
2,Marseille,Notre-Dame Cathedral,Château d'If,Calanques National Park Exploration ,La Canebière,Calanque de Sugiton,Parc National des Calanques
3,Lyon,Basilique Notre-Dame de la Garde,Hôtel de Ville,Lyon's Underground Catacombs Expedition ,Rue de la République,Parc de la Tête d'Or,Fourvière Hill
4,New York City,The Metropolitan Museum of Art,Ellis Island,Urban Jungle Safari ,Fifth Avenue,Central Park,The Edge
5,Los Angeles,Getty Center,Griffith Observatory,Hiking in Griffith Park,Hollywood Boulevard,Santa Monica Beach,Angeles National Forest
6,Las Vegas,The Strip (Las Vegas Boulevard),Hoover Dam,Desert ATV Adventure ,Las Vegas Boulevard (The Strip),Bellagio Conservatory & Botanical Gardens,SlotZilla Zip Line
7,Madrid,Prado Museum,Royal Palace of Madrid,Rock Climbing in Madrid's Mountains ,Gran Vía,Retiro Park,Parque del Oeste
8,Barcelona,Sagrada Familia,Gothic Quarter,Paragliding over Barcelona's Coastline ,La Rambla,Park Güell,Montjuïc Mountain
9,Seville,Eiffel Tower,Alcázar of Seville,Kayaking in Guadalquivir River,Calle Sierpes,Alcázar of Seville,Andalusian countryside
10,Rome,Colosseum,Roman Forum,Colosseum Night Tour and Ghost Hunt ,Via del Corso,Villa Borghese Gardens,Colosseum Underground
11,Milan,"Leonardo da Vinci's ""The Last Supper""",Sforza Castle,Milan's High Altitude Skydiving Experience ,Via Montenapoleone,Sempione Park,San Siro Stadium Tour
12,Venice,St. Mark's Basilica,Doge's Palace,Venice's Secret Passage Exploration ,Grand Canal,Giardini della Biennale,Gondola Ride on the Grand Canal
13,Beijing,Forbidden City,Great Wall of China,Great Wall Trekking Adventure ,Wangfujing Street,Summer Palace,The Great Wall of China 
14,Shanghai,The Bund,The Bund,Cycling through Shanghai's Ancient Water Towns ,Nanjing Road,The Bund,Shanghai Tower Skywalk
15,Guangzhou,Canton Tower,Chen Clan Ancestral Hall,Cliff Diving in Guangzhou's Baiyun Mountain ,Beijing Road,Yu Garden,Baiyun Mountain
16,Mexico City,National Museum of Anthropology,Templo Mayor,"Teotihuacan Hot Air Balloon Ride, Mexico City ",Paseo de la Reforma,Chapultepec Park,Lucha Libre Wrestling Match
17,Cancun,Chichen Itza,El Rey Ruins,Snorkeling in Cancun's Underwater Museum ,Avenida Tulum,Playa Delfines,Scuba Diving in the Underwater Museum of Art
18,Playa del Carmen,Xcaret Park,Coba Archaeological Site,Xplor Park,Quinta Avenida,Xcaret Park,Cenote diving in Dos Ojos
19,London,British Museum,Tower of London,Thames Rocket Speed Boat Experience,Oxford Street,Hyde Park,The Slide at ArcelorMittal Orbit
